IID;INAME;ISURNAME;MAIL
1;"""Catherine""";"""Hess""";"""chess@du.edu.tr"""
2;"""Jordan""";"""Miller""";"""jmiller@du.edu.tr"""
3;"""Breanna""";"""Gonzalez""";"""bgonzalez@du.edu.tr"""
4;"""Jessica""";"""Payne""";"""jpayne@du.edu.tr"""
5;"""Sara""";"""West""";"""swest@du.edu.tr"""
6;"""Melissa""";"""Harris""";"""mharris@du.edu.tr"""
7;"""Ethan""";"""Davis""";"""edavis@du.edu.tr"""
8;"""Tom""";"""Mclean""";"""tmclean@du.edu.tr"""
9;"""Erin""";"""Lang""";"""elang@du.edu.tr"""
10;"""David""";"""Watts""";"""dwatts@du.edu.tr"""
11;"""Emily""";"""Contreras""";"""econtreras@du.edu.tr"""
12;"""Sarah""";"""Moore""";"""smoore@du.edu.tr"""
13;"""Albert""";"""Long""";"""along@du.edu.tr"""
14;"""Anthony""";"""Shaw""";"""ashaw@du.edu.tr"""
15;"""John""";"""Rosario""";"""jrosario@du.edu.tr"""
16;"""Brandon""";"""Lopez""";"""blopez@du.edu.tr"""
17;"""Garrett""";"""Baker""";"""gbaker@du.edu.tr"""
18;"""Michael""";"""Townsend""";"""mtownsend@du.edu.tr"""
19;"""Tiffany""";"""Harris""";"""tharris@du.edu.tr"""
20;"""Gina""";"""Henderson""";"""ghenderson@du.edu.tr"""
21;"""Ebony""";"""Flores""";"""eflores@du.edu.tr"""
22;"""Kathy""";"""Cooper""";"""kcooper@du.edu.tr"""
23;"""Pamela""";"""Phillips""";"""pphillips@du.edu.tr"""
24;"""Dale""";"""Velazquez""";"""dvelazquez@du.edu.tr"""
25;"""Jenna""";"""Kim""";"""jkim@du.edu.tr"""
26;"""Jean""";"""Anderson""";"""janderson@du.edu.tr"""
27;"""Chris""";"""Cox""";"""ccox@du.edu.tr"""
28;"""Michelle""";"""Norris""";"""mnorris@du.edu.tr"""
29;"""Gina""";"""Foley""";"""gfoley@du.edu.tr"""
30;"""Sandra""";"""Moyer""";"""smoyer@du.edu.tr"""
31;"""James""";"""Brown""";"""jbrown@du.edu.tr"""
32;"""Taylor""";"""Wagner""";"""twagner@du.edu.tr"""
33;"""Robert""";"""Lyons""";"""rlyons@du.edu.tr"""
34;"""Kevin""";"""Davis""";"""kdavis@du.edu.tr"""
35;"""Rebecca""";"""Saunders""";"""rsaunders@du.edu.tr"""
36;"""Kim""";"""Schultz""";"""kschultz@du.edu.tr"""
37;"""Gina""";"""Reynolds""";"""greynolds@du.edu.tr"""
38;"""James""";"""Mitchell""";"""jmitchell@du.edu.tr"""
39;"""Joanne""";"""Franklin""";"""jfranklin@du.edu.tr"""
40;"""Anthony""";"""Carter""";"""acarter@du.edu.tr"""
41;"""Elizabeth""";"""Marshall""";"""emarshall@du.edu.tr"""
42;"""Julia""";"""Mahoney""";"""jmahoney@du.edu.tr"""
43;"""Olivia""";"""Whitehead""";"""owhitehead@du.edu.tr"""
