Name;Surname;SID;GPA;Grade;Credits;email;password;SFID;Major
Aaron;Will;43457;1.56;4;131;awill@du.edu.tr;AW43457;3;Law
Abbey;Willa;43458;3.58;4;107;awilla@du.edu.tr;AW43458;2;Industrial Engineering
Abbie;Willard;43459;3.27;3;103;awillard@du.edu.tr;AW43459;1;International Relations
Abby;Willena;43460;1.33;3;85;awillena@du.edu.tr;AW43460;1;Business Administration
Abdul;Willene;43461;1.41;1;19;awillene@du.edu.tr;AW43461;4;Philosophy
Abe;Willetta;43462;2.29;4;111;awilletta@du.edu.tr;AW43462;3;Law
Abel;Willette;43463;3.95;3;74;awillette@du.edu.tr;AW43463;4;Philosophy
Abigail;Willia;43464;3.68;3;97;awillia@du.edu.tr;AW43464;1;Business Administration
Abraham;William;43465;1.6;2;66;awilliam@du.edu.tr;AW43465;4;Philosophy
Abram;Williams;43466;1.77;3;95;awilliams@du.edu.tr;AW43466;2;Electrical and Electronics Engineering
Ada;Willian;43467;2.17;1;23;awillian@du.edu.tr;AW43467;0;Mathematics
Adah;Willie;43468;1.13;4;127;awillie@du.edu.tr;AW43468;4;Comparative Literature
Adalberto;Williemae;43469;2.04;1;13;awilliemae@du.edu.tr;AW43469;3;Law
Adaline;Willis;43470;1;4;132;awillis@du.edu.tr;AW43470;1;International Relations
Adam;Willodean;43471;3.22;1;31;awillodean@du.edu.tr;AW43471;0;Molecular Biology and Genetics
Adan;Willow;43472;3.34;1;32;awillow@du.edu.tr;AW43472;4;Comparative Literature
Addie;Willy;43473;2.5;3;96;awilly@du.edu.tr;AW43473;4;History
Adela;Wilma;43474;1.49;3;76;awilma@du.edu.tr;AW43474;1;International Relations
Adelaida;Wilmer;43475;1.02;3;102;awilmer@du.edu.tr;AW43475;1;Economy
Adelaide;Wilson;43476;1.31;2;57;awilson@du.edu.tr;AW43476;3;Law
Adele;Wilton;43477;1.21;4;108;awilton@du.edu.tr;AW43477;3;Law
Adelia;Windy;43478;1.42;2;64;awindy@du.edu.tr;AW43478;0;Molecular Biology and Genetics
Adelina;Winford;43479;2.39;4;117;awinford@du.edu.tr;AW43479;0;Mathematics
Adeline;Winfred;43480;1.81;1;4;awinfred@du.edu.tr;AW43480;2;Electrical and Electronics Engineering
Adell;Winifred;43481;1.42;3;100;awinifred@du.edu.tr;AW43481;2;Computer Engineering
Adella;Winnie;43482;3.71;1;31;awinnie@du.edu.tr;AW43482;0;Chemistry
Adelle;Winnifred;43483;3.54;3;100;awinnifred@du.edu.tr;AW43483;1;Business Administration
Adena;Winona;43484;3.8;3;104;awinona@du.edu.tr;AW43484;3;Law
Adina;Winston;43485;2.41;4;106;awinston@du.edu.tr;AW43485;0;Chemistry
Adolfo;Winter;43486;1.37;2;65;awinter@du.edu.tr;AW43486;1;International Relations
Adolph;Wm;43487;1.98;2;46;awm@du.edu.tr;AW43487;4;Philosophy
Adria;Wonda;43488;3.51;1;11;awonda@du.edu.tr;AW43488;1;International Relations
Adrian;Woodrow;43489;3.39;3;86;awoodrow@du.edu.tr;AW43489;3;Law
Adriana;Wyatt;43490;3.17;1;33;awyatt@du.edu.tr;AW43490;0;Chemistry
Adriane;Wynell;43491;1.39;1;25;awynell@du.edu.tr;AW43491;2;Industrial Engineering
Adrianna;Wynona;43492;1.72;2;70;awynona@du.edu.tr;AW43492;3;Law
Adrianne;Xavier;43493;1.66;2;51;axavier@du.edu.tr;AX43493;1;International Relations
Adrien;Solange;43494;3.58;2;57;asolange@du.edu.tr;AS43494;3;Law
Adriene;Soledad;43495;1.7;4;110;asoledad@du.edu.tr;AS43495;3;Law
Adrienne;Solomon;43496;2.84;4;125;asolomon@du.edu.tr;AS43496;3;Law
Afton;Somer;43497;2.79;2;44;asomer@du.edu.tr;AS43497;3;Law
Agatha;Sommer;43498;2.33;3;88;asommer@du.edu.tr;AS43498;1;Business Administration
Agnes;Son;43499;1.31;4;139;ason@du.edu.tr;AS43499;1;International Relations
Agnus;Sona;43500;1.05;3;80;asona@du.edu.tr;AS43500;0;Mathematics
Agripina;Sondra;43501;2.27;3;85;asondra@du.edu.tr;AS43501;3;Law
Agueda;Song;43502;3.78;1;18;asong@du.edu.tr;AS43502;3;Law
Agustin;Sonia;43503;3.15;3;85;asonia@du.edu.tr;AS43503;2;Chemical and Biological Engineering 
Agustina;Sonja;43504;2.41;2;66;asonja@du.edu.tr;AS43504;0;Mathematics
Ahmad;Sonny;43505;3.83;2;56;asonny@du.edu.tr;AS43505;3;Law
Ahmed;Sonya;43506;2.72;2;46;asonya@du.edu.tr;AS43506;3;Law
Ai;Soo;43507;2.46;4;123;asoo@du.edu.tr;AS43507;0;Physics
Aida;Sook;43508;3.53;3;80;asook@du.edu.tr;AS43508;3;Law
Aide;Soon;43509;3.57;1;24;asoon@du.edu.tr;AS43509;1;Economy
Aiko;Sophia;43510;3.52;4;127;asophia@du.edu.tr;AS43510;0;Molecular Biology and Genetics
Aileen;Sophie;43511;2.73;4;118;asophie@du.edu.tr;AS43511;3;Law
Ailene;Soraya;43512;1.63;1;31;asoraya@du.edu.tr;AS43512;3;Law
Aimee;Sparkle;43513;2.5;3;88;asparkle@du.edu.tr;AS43513;2;Industrial Engineering
Aisha;Spencer;43514;1.66;1;19;aspencer@du.edu.tr;AS43514;4;Media and Visual Arts
Aja;Spring;43515;3.6;2;51;aspring@du.edu.tr;AS43515;1;Economy
Akiko;Stacee;43516;2.09;1;31;astacee@du.edu.tr;AS43516;1;International Relations
Akilah;Stacey;43517;3.27;4;120;astacey@du.edu.tr;AS43517;2;Chemical and Biological Engineering 
Al;Staci;43518;2.6;2;45;astaci@du.edu.tr;AS43518;4;Psychology
Alaina;Stacia;43519;2.04;4;133;astacia@du.edu.tr;AS43519;0;Physics
Alaine;Stacie;43520;2.26;3;89;astacie@du.edu.tr;AS43520;0;Mathematics
Alan;Stacy;43521;1.33;1;28;astacy@du.edu.tr;AS43521;0;Mathematics
Alana;Stan;43522;2.99;1;6;astan@du.edu.tr;AS43522;1;Business Administration
Alane;Stanford;43523;2.59;4;127;astanford@du.edu.tr;AS43523;2;Chemical and Biological Engineering 
Alanna;Stanley;43524;3.99;2;53;astanley@du.edu.tr;AS43524;4;Psychology
Alayna;Stanton;43525;2.2;1;6;astanton@du.edu.tr;AS43525;0;Molecular Biology and Genetics
Alba;Star;43526;1.46;4;112;astar@du.edu.tr;AS43526;2;Mechanical Engineering
Albert;Starla;43527;1.67;1;26;astarla@du.edu.tr;AS43527;2;Industrial Engineering
Alberta;Starr;43528;2.72;3;90;astarr@du.edu.tr;AS43528;3;Law
Albertha;Stasia;43529;3.47;1;33;astasia@du.edu.tr;AS43529;4;Media and Visual Arts
Albertina;Stefan;43530;3.9;4;140;astefan@du.edu.tr;AS43530;3;Law
Albertine;Stefani;43531;3.2;1;11;astefani@du.edu.tr;AS43531;0;Physics
Alberto;Stefania;43532;1.95;2;52;astefania@du.edu.tr;AS43532;4;Comparative Literature
Albina;Stefanie;43533;2.15;1;25;astefanie@du.edu.tr;AS43533;1;Business Administration
Alda;Stefany;43534;2.84;2;39;astefany@du.edu.tr;AS43534;0;Molecular Biology and Genetics
Alden;Steffanie;43535;1.71;4;138;asteffanie@du.edu.tr;AS43535;4;Philosophy
Aldo;Stella;43536;3.74;1;31;astella@du.edu.tr;AS43536;4;History
Alease;Stepanie;43537;3.07;3;88;astepanie@du.edu.tr;AS43537;3;Law
Alec;Stephaine;43538;1.45;2;37;astephaine@du.edu.tr;AS43538;3;Law
Alecia;Stephan;43539;3.84;3;77;astephan@du.edu.tr;AS43539;0;Chemistry
Aleen;Stephane;43540;2.56;4;115;astephane@du.edu.tr;AS43540;0;Physics
